Date,State,Cases
25-Jan/2020,Johor,1
28-Jan/2020,Johor,2
30-Jan/2020,Johor,3
3-Feb/2020,Johor,3
5-Feb/2020,Johor,3
6-Feb/2020,Johor,4
7-Feb/2020,Johor,4
8-Feb/2020,Johor,4
9-Feb/2020,Johor,4
13-Feb/2020,Johor,4
14-Feb/2020,Johor,4
15-Feb/2020,Johor,4
27-Feb/2020,Johor,4
28-Feb/2020,Johor,4
1-Mar/2020,Johor,4
3-Mar/2020,Johor,4
13-Mar/2020,Johor,20
14-Mar/2020,Johor,22
16-Mar/2020,Johor,52
17-Mar/2020,Johor,77
18-Mar/2020,Johor,88
19-Mar/2020,Johor,101
20-Mar/2020,Johor,114
21-Mar/2020,Johor,129
22-Mar/2020,Johor,145
23-Mar/2020,Johor,158
24-Mar/2020,Johor,162
25-Mar/2020,Johor,196
26-Mar/2020,Johor,239
27-Mar/2020,Johor,259
28-Mar/2020,Johor,285
29-Mar/2020,Johor,309
30-Mar/2020,Johor,333
31-Mar/2020,Johor,349
1-Apr/2020,Johor,368
2-Apr/2020,Johor,395
3-Apr/2020,Johor,416
4-Apr/2020,Johor,422
5-Apr/2020,Johor,438
6-Apr/2020,Johor,468
7-Apr/2020,Johor,478
8-Apr/2020,Johor,496
9-Apr/2020,Johor,503
10-Apr/2020,Johor,523
11-Apr/2020,Johor,544
12-Apr/2020,Johor,558
13-Apr/2020,Johor,579
14-Apr/2020,Johor,587
15-Apr/2020,Johor,601
16-Apr/2020,Johor,614
17-Apr/2020,Johor,623
18-Apr/2020,Johor,639
19-Apr/2020,Johor,642
20-Apr/2020,Johor,644
21-Apr/2020,Johor,645
22-Apr/2020,Johor,648
23-Apr/2020,Johor,651
24-Apr/2020,Johor,655
25-Apr/2020,Johor,655
26-Apr/2020,Johor,659
27-Apr/2020,Johor,659
28-Apr/2020,Johor,660
29-Apr/2020,Johor,660
30-Apr/2020,Johor,663
1-May/2020,Johor,666
2-May/2020,Johor,667
3-May/2020,Johor,667
4-May/2020,Johor,667
5-May/2020,Johor,667
6-May/2020,Johor,667
7-May/2020,Johor,667
8-May/2020,Johor,667
9-May/2020,Johor,667
10-May/2020,Johor,667
11-May/2020,Johor,667
12-May/2020,Johor,667
13-May/2020,Johor,667
14-May/2020,Johor,668
15-May/2020,Johor,668
16-May/2020,Johor,668
17-May/2020,Johor,668
18-May/2020,Johor,668
19-May/2020,Johor,669
20-May/2020,Johor,669
21-May/2020,Johor,669
22-May/2020,Johor,669
23-May/2020,Johor,670
24-May/2020,Johor,671
25-May/2020,Johor,671
26-May/2020,Johor,671
27-May/2020,Johor,671
28-May/2020,Johor,671
29-May/2020,Johor,674
30-May/2020,Johor,675
31-May/2020,Johor,675
1-Jun/2020,Johor,675
2-Jun/2020,Johor,676
3-Jun/2020,Johor,676
4-Jun/2020,Johor,676
5-Jun/2020,Johor,676
6-Jun/2020,Johor,676
7-Jun/2020,Johor,676
8-Jun/2020,Johor,676
9-Jun/2020,Johor,676
10-Jun/2020,Johor,677
11-Jun/2020,Johor,677
12-Jun/2020,Johor,678
13-Jun/2020,Johor,680
14-Jun/2020,Johor,680
15-Jun/2020,Johor,683
16-Jun/2020,Johor,684
17-Jun/2020,Johor,684
18-Jun/2020,Johor,686
19-Jun/2020,Johor,686
20-Jun/2020,Johor,686
21-Jun/2020,Johor,687
22-Jun/2020,Johor,688
23-Jun/2020,Johor,688
24-Jun/2020,Johor,688
25-Jun/2020,Johor,689
26-Jun/2020,Johor,691
27-Jun/2020,Johor,691
28-Jun/2020,Johor,691
29-Jun/2020,Johor,691
30-Jun/2020,Johor,691
1-Jul/2020,Johor,691
2-Jul/2020,Johor,692
3-Jul/2020,Johor,692
4-Jul/2020,Johor,692
5-Jul/2020,Johor,692
6-Jul/2020,Johor,693
7-Jul/2020,Johor,694
8-Jul/2020,Johor,694
9-Jul/2020,Johor,696
10-Jul/2020,Johor,697
11-Jul/2020,Johor,699
12-Jul/2020,Johor,699
13-Jul/2020,Johor,699
14-Jul/2020,Johor,701
15-Jul/2020,Johor,701
16-Jul/2020,Johor,701
17-Jul/2020,Johor,701
18-Jul/2020,Johor,701
19-Jul/2020,Johor,702
20-Jul/2020,Johor,716
21-Jul/2020,Johor,716
22-Jul/2020,Johor,717
23-Jul/2020,Johor,718
24-Jul/2020,Johor,720
25-Jul/2020,Johor,730
26-Jul/2020,Johor,737
27-Jul/2020,Johor,737
28-Jul/2020,Johor,737
29-Jul/2020,Johor,738
30-Jul/2020,Johor,739
31-Jul/2020,Johor,742
1-Aug/2020,Johor,742
2-Aug/2020,Johor,742
3-Aug/2020,Johor,742
4-Aug/2020,Johor,742
5-Aug/2020,Johor,743
6-Aug/2020,Johor,743
7-Aug/2020,Johor,744
8-Aug/2020,Johor,744
9-Aug/2020,Johor,744
10-Aug/2020,Johor,746
11-Aug/2020,Johor,747
12-Aug/2020,Johor,749
13-Aug/2020,Johor,749
14-Aug/2020,Johor,749
15-Aug/2020,Johor,750
16-Aug/2020,Johor,750
17-Aug/2020,Johor,750
18-Aug/2020,Johor,750
19-Aug/2020,Johor,751
20-Aug/2020,Johor,751
21-Aug/2020,Johor,751
22-Aug/2020,Johor,751
23-Aug/2020,Johor,751
24-Aug/2020,Johor,751
25-Aug/2020,Johor,751
26-Aug/2020,Johor,751
27-Aug/2020,Johor,751
28-Aug/2020,Johor,751
29-Aug/2020,Johor,751
30-Aug/2020,Johor,751
31-Aug/2020,Johor,751
1-Sep/2020,Johor,751
2-Sep/2020,Johor,751
3-Sep/2020,Johor,752
4-Sep/2020,Johor,752
5-Sep/2020,Johor,752
6-Sep/2020,Johor,752
7-Sep/2020,Johor,752
8-Sep/2020,Johor,752
9-Sep/2020,Johor,752
10-Sep/2020,Johor,752
11-Sep/2020,Johor,752
12-Sep/2020,Johor,752
13-Sep/2020,Johor,752
14-Sep/2020,Johor,752
15-Sep/2020,Johor,752
16-Sep/2020,Johor,752
17-Sep/2020,Johor,752
18-Sep/2020,Johor,752
19-Sep/2020,Johor,752
20-Sep/2020,Johor,752
21-Sep/2020,Johor,752
22-Sep/2020,Johor,752
23-Sep/2020,Johor,752
24-Sep/2020,Johor,753
25-Sep/2020,Johor,754
26-Sep/2020,Johor,755
27-Sep/2020,Johor,757
28-Sep/2020,Johor,757
29-Sep/2020,Johor,759
30-Sep/2020,Johor,767
1-Oct/2020,Johor,772
2-Oct/2020,Johor,773
3-Oct/2020,Johor,777
4-Oct/2020,Johor,785
5-Oct/2020,Johor,787
6-Oct/2020,Johor,793
7-Oct/2020,Johor,799
8-Oct/2020,Johor,804
9-Oct/2020,Johor,809
10-Oct/2020,Johor,811
11-Oct/2020,Johor,814
12-Oct/2020,Johor,816
13-Oct/2020,Johor,826
14-Oct/2020,Johor,829
15-Oct/2020,Johor,829
16-Oct/2020,Johor,834
17-Oct/2020,Johor,836
18-Oct/2020,Johor,837
19-Oct/2020,Johor,839
20-Oct/2020,Johor,840
21-Oct/2020,Johor,840
22-Oct/2020,Johor,841
23-Oct/2020,Johor,845
24-Oct/2020,Johor,852
25-Oct/2020,Johor,867
26-Oct/2020,Johor,871
27-Oct/2020,Johor,879
28-Oct/2020,Johor,887
29-Oct/2020,Johor,897
30-Oct/2020,Johor,906
31-Oct/2020,Johor,906
1-Nov/2020,Johor,907
2-Nov/2020,Johor,916
3-Nov/2020,Johor,917
4-Nov/2020,Johor,919
5-Nov/2020,Johor,921
6-Nov/2020,Johor,925
7-Nov/2020,Johor,930
8-Nov/2020,Johor,931
9-Nov/2020,Johor,941
10-Nov/2020,Johor,949
11-Nov/2020,Johor,959
12-Nov/2020,Johor,967
13-Nov/2020,Johor,970
14-Nov/2020,Johor,985
15-Nov/2020,Johor,994
16-Nov/2020,Johor,1002
17-Nov/2020,Johor,1016
18-Nov/2020,Johor,1019
19-Nov/2020,Johor,1034
20-Nov/2020,Johor,1043
21-Nov/2020,Johor,1076
22-Nov/2020,Johor,1085
23-Nov/2020,Johor,1100
24-Nov/2020,Johor,1119
25-Nov/2020,Johor,1149
26-Nov/2020,Johor,1209
27-Nov/2020,Johor,1242
28-Nov/2020,Johor,1288
29-Nov/2020,Johor,1325
30-Nov/2020,Johor,1379
25-Jan/2020,Kedah,0
28-Jan/2020,Kedah,1
30-Jan/2020,Kedah,1
3-Feb/2020,Kedah,1
5-Feb/2020,Kedah,2
6-Feb/2020,Kedah,2
7-Feb/2020,Kedah,2
8-Feb/2020,Kedah,2
9-Feb/2020,Kedah,2
13-Feb/2020,Kedah,2
14-Feb/2020,Kedah,4
15-Feb/2020,Kedah,4
27-Feb/2020,Kedah,4
28-Feb/2020,Kedah,4
1-Mar/2020,Kedah,4
3-Mar/2020,Kedah,4
13-Mar/2020,Kedah,5
14-Mar/2020,Kedah,5
16-Mar/2020,Kedah,319
17-Mar/2020,Kedah,31
18-Mar/2020,Kedah,36
19-Mar/2020,Kedah,40
20-Mar/2020,Kedah,41
21-Mar/2020,Kedah,47
22-Mar/2020,Kedah,52
23-Mar/2020,Kedah,59
24-Mar/2020,Kedah,64
25-Mar/2020,Kedah,69
26-Mar/2020,Kedah,72
27-Mar/2020,Kedah,73
28-Mar/2020,Kedah,74
29-Mar/2020,Kedah,75
30-Mar/2020,Kedah,77
31-Mar/2020,Kedah,77
1-Apr/2020,Kedah,79
2-Apr/2020,Kedah,80
3-Apr/2020,Kedah,81
4-Apr/2020,Kedah,81
5-Apr/2020,Kedah,82
6-Apr/2020,Kedah,85
7-Apr/2020,Kedah,90
8-Apr/2020,Kedah,91
9-Apr/2020,Kedah,93
10-Apr/2020,Kedah,93
11-Apr/2020,Kedah,93
12-Apr/2020,Kedah,93
13-Apr/2020,Kedah,93
14-Apr/2020,Kedah,93
15-Apr/2020,Kedah,94
16-Apr/2020,Kedah,94
17-Apr/2020,Kedah,94
18-Apr/2020,Kedah,94
19-Apr/2020,Kedah,94
20-Apr/2020,Kedah,94
21-Apr/2020,Kedah,94
22-Apr/2020,Kedah,95
23-Apr/2020,Kedah,95
24-Apr/2020,Kedah,95
25-Apr/2020,Kedah,95
26-Apr/2020,Kedah,95
27-Apr/2020,Kedah,95
28-Apr/2020,Kedah,95
29-Apr/2020,Kedah,95
30-Apr/2020,Kedah,95
1-May/2020,Kedah,95
2-May/2020,Kedah,95
3-May/2020,Kedah,95
4-May/2020,Kedah,95
5-May/2020,Kedah,95
6-May/2020,Kedah,95
7-May/2020,Kedah,95
8-May/2020,Kedah,95
9-May/2020,Kedah,95
10-May/2020,Kedah,95
11-May/2020,Kedah,95
12-May/2020,Kedah,95
13-May/2020,Kedah,95
14-May/2020,Kedah,95
15-May/2020,Kedah,95
16-May/2020,Kedah,95
17-May/2020,Kedah,95
18-May/2020,Kedah,95
19-May/2020,Kedah,95
20-May/2020,Kedah,96
21-May/2020,Kedah,96
22-May/2020,Kedah,96
23-May/2020,Kedah,96
24-May/2020,Kedah,96
25-May/2020,Kedah,96
26-May/2020,Kedah,96
27-May/2020,Kedah,96
28-May/2020,Kedah,96
29-May/2020,Kedah,96
30-May/2020,Kedah,96
31-May/2020,Kedah,96
1-Jun/2020,Kedah,96
2-Jun/2020,Kedah,96
3-Jun/2020,Kedah,96
