Date,Johor,Kedah,Kelantan,Kuala Lumpur,Labuan,Malacca,Negeri Sembilan,Pahang,Penang,Perak,Perlis,Putrajaya,Sabah,Sarawak,Selangor,Terengganu
1-Apr,19,2,3,25,0,11,8,9,2,5,0,0,3,32,22,1
2-Apr,27,1,3,33,0,7,18,3,2,6,0,8,1,23,74,2
3-Apr,21,1,0,55,0,3,4,13,0,5,0,1,5,28,63,18
4-Apr,6,0,2,52,1,2,9,24,1,2,0,1,10,7,27,6
5-Apr,16,1,2,27,0,14,11,7,2,6,1,1,13,15,53,10
6-Apr,30,3,1,18,1,10,8,3,0,6,0,4,2,12,27,6
7-Apr,10,5,5,31,1,4,22,5,1,14,4,2,1,15,50,0
8-Apr,18,1,0,14,0,13,9,3,6,4,0,2,7,18,58,3
9-Apr,7,2,1,14,0,3,11,14,0,4,0,2,0,6,40,5
10-Apr,20,0,1,14,0,14,11,4,1,1,0,2,2,15,30,3
11-Apr,21,0,2,46,2,8,17,27,5,1,0,2,10,7,35,1
12-Apr,14,0,1,44,0,3,9,11,2,1,0,1,6,8,53,0
13-Apr,21,0,2,27,0,0,42,0,0,3,0,2,14,6,13,4
14-Apr,8,0,0,69,0,3,2,11,3,3,1,0,5,15,50,0
15-Apr,14,1,0,27,0,0,1,17,0,0,0,0,0,8,17,0
16-Apr,13,0,1,26,0,0,26,8,0,1,0,1,3,16,13,2
17-Apr,9,0,0,19,1,1,13,1,0,1,0,0,5,10,9,0
18-Apr,16,0,0,14,0,0,3,2,0,0,0,0,10,6,2,1
19-Apr,3,0,0,19,0,37,0,5,0,0,0,9,3,5,3,0
20-Apr,2,0,0,4,0,2,3,2,0,0,0,13,2,6,2,0
21-Apr,1,0,0,13,0,1,1,8,0,0,0,0,0,22,11,0
22-Apr,3,1,0,16,0,1,2,6,0,0,0,1,0,19,1,0
23-Apr,3,0,0,29,0,0,20,1,0,0,0,0,1,4,12,1
24-Apr,4,0,0,49,0,3,2,1,0,0,0,0,2,9,18,0
25-Apr,0,0,0,39,0,0,0,1,0,0,0,0,0,10,1,0
26-Apr,4,0,0,16,0,1,1,0,2,0,0,1,0,7,6,0
27-Apr,0,0,0,30,0,0,1,0,0,1,0,0,1,3,4,0
28-Apr,1,0,0,14,0,0,1,0,0,0,0,1,1,8,5,0
29-Apr,0,0,0,8,0,0,72,5,0,0,0,0,2,6,1,0
30-Apr,3,0,0,10,0,5,5,1,0,0,0,1,0,5,27,0
1-May,3,0,0,32,0,1,0,3,0,0,0,4,0,2,24,0
2-May,1,0,0,14,0,2,8,8,0,0,0,0,0,9,63,0
3-May,0,0,0,30,0,3,71,0,0,0,0,1,1,5,11,0
4-May,0,0,0,25,0,3,6,0,0,0,0,0,0,0,21,0
5-May,0,0,0,23,0,0,0,0,0,0,0,0,0,2,5,0
6-May,0,0,0,22,0,1,2,0,0,0,0,0,0,11,9,0
7-May,0,0,0,20,0,1,0,0,0,0,0,0,1,1,16,0
8-May,0,0,0,6,0,0,53,1,0,0,0,1,0,1,6,0
9-May,0,0,0,10,0,1,28,0,0,0,0,1,0,4,10,0
10-May,0,0,0,9,0,0,45,2,0,2,0,0,0,1,8,0
11-May,0,0,0,35,0,1,16,4,0,0,0,1,10,0,3,0
12-May,0,0,0,12,0,0,0,0,0,0,0,0,1,0,3,0
13-May,0,0,0,5,0,2,22,3,0,0,0,0,2,1,2,0
14-May,1,0,0,18,0,1,11,8,0,0,0,0,0,0,1,0
15-May,0,0,0,15,0,1,1,5,0,0,0,0,0,0,14,0
16-May,0,0,0,7,0,0,0,7,0,0,0,1,1,0,1,0
17-May,0,0,0,13,0,0,0,1,0,0,0,0,0,0,8,0
18-May,0,0,0,38,0,0,0,0,0,0,0,1,0,0,8,0
19-May,1,0,0,22,0,0,0,2,0,0,0,0,6,0,6,0
20-May,0,1,1,10,0,0,0,0,0,0,0,2,1,0,15,1
21-May,0,0,0,39,0,0,2,1,0,0,0,0,0,0,8,0
22-May,0,0,0,39,0,1,13,2,0,0,0,0,2,1,20,0
23-May,1,0,0,5,0,0,1,3,0,0,0,0,1,0,37,0
24-May,1,0,0,11,0,0,0,0,0,0,0,0,2,0,46,0
25-May,0,0,0,115,0,0,0,0,0,0,0,0,0,4,53,0
26-May,0,0,0,177,0,0,1,0,0,0,0,0,0,0,9,0
27-May,0,0,0,6,0,0,0,0,0,0,0,0,1,3,5,0
28-May,0,0,0,7,0,0,0,1,0,0,0,0,0,0,2,0
29-May,3,0,0,10,0,0,59,1,0,0,0,0,2,0,28,0
30-May,1,0,0,13,0,2,4,0,0,1,0,4,0,0,5,0
31-May,0,0,0,8,0,1,2,15,0,0,0,0,0,0,31,0
1-Jun,0,0,0,11,0,13,2,0,0,0,0,0,1,0,11,0
2-Jun,1,0,0,5,0,1,6,0,0,0,0,0,1,0,6,0
3-Jun,0,0,0,55,0,0,36,0,0,0,0,0,0,0,2,0
4-Jun,0,0,0,271,0,0,3,1,0,0,0,0,0,0,2,0
5-Jun,0,0,0,4,0,1,0,1,0,0,0,0,3,1,9,0
6-Jun,0,0,0,15,1,0,5,0,0,0,0,0,0,2,14,0
7-Jun,0,0,0,4,0,0,1,0,0,0,0,0,2,0,12,0
8-Jun,0,0,0,1,0,1,0,0,0,0,0,0,2,0,3,0
9-Jun,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0
10-Jun,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11-Jun,0,0,0,1,0,11,16,0,0,0,0,0,0,0,3,0
12-Jun,1,0,0,10,0,4,4,0,0,0,0,0,1,0,13,0
13-Jun,2,0,0,1,0,2,26,2,0,1,0,0,2,0,7,0
14-Jun,0,0,0,4,0,1,0,0,0,0,0,0,0,1,2,0
15-Jun,3,0,0,1,0,2,32,0,0,0,0,0,1,0,2,0
16-Jun,1,0,0,2,0,0,4,0,0,0,0,0,0,3,1,0
17-Jun,0,0,0,1,0,0,1,0,0,0,0,0,2,1,5,0
18-Jun,2,0,0,4,0,0,0,0,0,1,0,0,1,4,2,0
19-Jun,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3,0
20-Jun,0,0,0,7,0,0,1,0,0,0,0,0,1,0,12,0
21-Jun,1,0,0,0,0,1,6,0,0,0,0,0,1,3,4,0
22-Jun,1,0,0,0,0,0,12,0,0,0,0,0,0,0,2,0
23-Jun,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
24-Jun,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
25-Jun,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
26-Jun,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0
27-Jun,0,0,0,4,0,0,1,0,0,0,0,0,2,0,3,0
28-Jun,0,0,0,1,0,0,9,0,0,0,0,0,2,1,5,0
29-Jun,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
30-Jun,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1-Jul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2-Jul,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3-Jul,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0
4-Jul,0,0,0,1,0,0,1,0,0,0,0,0,1,0,7,0
5-Jul,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0
6-Jul,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0
7-Jul,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0
8-Jul,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
9-Jul,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
10-Jul,1,1,0,3,0,0,0,0,0,0,0,0,0,2,6,0
11-Jul,2,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0
12-Jul,0,0,0,0,0,1,0,0,0,0,0,1,1,2,9,0
13-Jul,0,1,0,0,0,1,0,0,0,0,0,0,0,1,4,0
14-Jul,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
15-Jul,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0
16-Jul,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
17-Jul,0,0,0,1,0,0,0,0,0,0,0,0,1,10,4,2
18-Jul,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0
19-Jul,1,0,0,1,0,0,0,0,0,2,0,0,1,6,4,0
